"Genus","Interval","Interval_Top","Ex","Or","ExClass","OrClass","richness","occupancy","Single_occurrence","continents","endemic","MaxLat","MinLat","MinLatRel","MaxLatRel","LatRange","LatRangeRel","AbsLatRange","MeanAbsLat","MeanDepth","MaxDepth","MinDepth","DepthRange","Age","gcd","Order","Family","Pedicle.state","Median.Comm.Rich","Mean.Loc.Depth","MaxLatRange.ever","Prop.Cratonic","North.Hemisphere","Prop.North","PropTrunc","Num_Intervals","IH Spec. Richness","GH Spec. Richness","IH.Num.Inhabitable","GH.Num.Inhabitable","cooling.latrange","cooling.start.latrange","warming.latrange","warming.start.latrange","IH.MaxTemp","IH.MinTemp","IH.TempRange","GH.MaxTemp","GH.MinTemp","GH.TempRange"
"Aberia",10,446.3,0,0,"survive","holdover",1,1,1,1,1,70,66,-70,-66,0,4,4,68,3.5,4,3,1,2.19999999999999,10,"Orthida","Rhactorthidae",-Inf,12,3.75,4,0,0,0,0,9,0,0,0,0,0,4,0,24,0.1,0.1,2.1,7.3,7.3,4.716666667
"Aberia",11,446,0,0,"survive","holdover",1,1,1,1,1,70,66,-70,-66,0,4,4,68,3.5,4,3,1,2.5,10,"Orthida","Rhactorthidae",-Inf,12,3.75,4,0,0,0,0,9,0,0,0,0,0,4,0,24,0.1,0.1,2.1,7.3,7.3,4.716666667
"Aberia",12,445.6,1,0,"extinct","holdover",1,1,1,1,1,70,66,-70,-66,0,4,4,68,3.5,4,3,1,2.89999999999998,10,"Orthida","Rhactorthidae",-Inf,12,3.75,4,0,0,0,1,9,0,0,0,0,0,4,0,24,0.1,0.1,2.1,7.3,7.3,4.716666667
"Aberia",4,448.5,0,1,"survive","origination",1,1,1,1,1,70,66,-70,-66,0,4,4,68,3.5,4,3,1,0,10,"Orthida","Rhactorthidae",-Inf,12,3.75,4,0,0,0,0,9,0,0,0,0,0,4,0,24,0.1,0.1,2.1,7.3,7.3,4.716666667
"Aberia",5,448,0,0,"survive","holdover",1,1,1,1,1,70,66,-70,-66,0,4,4,68,3.5,4,3,1,0.5,10,"Orthida","Rhactorthidae",-Inf,12,3.75,4,0,0,0,0,9,0,0,0,0,0,4,0,24,0.1,0.1,2.1,7.3,7.3,4.716666667
"Aberia",6,447.5,0,0,"survive","holdover",1,1,1,1,1,70,66,-70,-66,0,4,4,68,3.5,4,3,1,1,10,"Orthida","Rhactorthidae",-Inf,12,3.75,4,0,0,0,0,9,0,0,0,0,0,4,0,24,0.1,0.1,2.1,7.3,7.3,4.716666667
"Aberia",7,447.2,0,0,"survive","holdover",1,1,1,1,1,70,66,-70,-66,0,4,4,68,3.5,4,3,1,1.30000000000001,10,"Orthida","Rhactorthidae",-Inf,12,3.75,4,0,0,0,0,9,0,0,0,0,0,4,0,24,0.1,0.1,2.1,7.3,7.3,4.716666667
"Aberia",8,446.8,0,0,"survive","holdover",1,1,1,1,1,70,66,-70,-66,0,4,4,68,3.5,4,3,1,1.69999999999999,10,"Orthida","Rhactorthidae",-Inf,12,3.75,4,0,0,0,0,9,0,0,0,0,0,4,0,24,0.1,0.1,2.1,7.3,7.3,4.716666667
"Aberia",9,446.5,0,0,"survive","holdover",1,1,1,1,1,70,66,-70,-66,0,4,4,68,3.5,4,3,1,2,10,"Orthida","Rhactorthidae",-Inf,12,3.75,4,0,0,0,0,9,0,0,0,0,0,4,0,24,0.1,0.1,2.1,7.3,7.3,4.716666667
"Acculina",1,457,0,1,"survive","origination",1,1,1,1,1,10,6,-10,-6,0,4,4,8,3.5,5,2,3,0,10,"Strophomenida","Leptellinidae",-Inf,52,3.74038461538462,4,0,0,0,0,2,0,0,0,0,0,6,0,4,27.08333333,27.08333333,2.33333333,31.76666667,31.76666667,2.61666667
"Acculina",2,453,1,0,"extinct","holdover",1,1,1,1,1,10,6,-10,-6,0,4,4,8,3.5,5,2,3,4,10,"Strophomenida","Leptellinidae",-Inf,51,3.74509803921569,4,0,0,0,0,2,0,0,0,0,0,6,0,4,27.08333333,27.08333333,2.33333333,31.76666667,31.76666667,2.61666667
"Actinomena",1,457,0,1,"survive","origination",2,1,0,1,1,39,35,-39,-35,4,4,4,37,4,5,3,2,0,276.189639207832,"Strophomenida","Strophomenidae",-Inf,14,3.53125,4,0.5,0,0,0,9,2,2,1,1,2,4,24,4,14.5625,14.5625,12.275,19.89583333,19.89583333,11.60833333
"Actinomena",10,446.3,0,0,"survive","holdover",1,1,1,1,1,42,38,-42,-38,0,4,4,40,4,5,3,2,10.7,10,"Strophomenida","Strophomenidae",-Inf,38,4.13157894736842,4,0,0,0,0,9,1,1,1,1,1,4,19,4,10.991666667,10.991666667,9.591666667,16.99166667,16.99166667,9.59166667
"Actinomena",11,446,0,0,"survive","holdover",1,1,1,1,1,42,38,-42,-38,0,4,4,40,4,5,3,2,11,10,"Strophomenida","Strophomenidae",-Inf,38,4.13157894736842,4,0,0,0,0,9,1,1,1,1,1,4,19,4,10.991666667,10.991666667,9.591666667,16.99166667,16.99166667,9.59166667
"Actinomena",12,445.6,1,0,"extinct","holdover",1,1,1,1,1,42,38,-42,-38,0,4,4,40,4,5,3,2,11.4,10,"Strophomenida","Strophomenidae",-Inf,38,4.13157894736842,4,0,0,0,0,9,1,1,1,1,1,4,19,4,10.991666667,10.991666667,9.591666667,16.99166667,16.99166667,9.59166667
"Actinomena",3,449,0,0,"survive","holdover",1,1,0,1,1,35,31,-35,-31,4,4,4,33,4,5,3,2,8,10,"Strophomenida","Strophomenidae",-Inf,9,3.88888888888889,4,0,0,0,1,9,1,1,1,1,7,4,6,4,20.2125,20.2125,12.775,24.47916667,24.47916667,11.70833334
"Actinomena",6,447.5,0,0,"survive","holdover",1,1,1,1,1,42,38,-42,-38,0,4,4,40,4,5,3,2,9.5,10,"Strophomenida","Strophomenidae",-Inf,51,4,4,0,0,0,0,9,1,1,1,1,1,4,19,4,10.991666667,10.991666667,9.591666667,16.99166667,16.99166667,9.59166667
"Actinomena",7,447.2,0,0,"survive","holdover",2,3,0,2,0,42,19,-42,-19,23,23,23,30,4,5,3,2,9.80000000000001,4684.79378746623,"Strophomenida","Strophomenidae",-Inf,66,3.99431818181818,23,0,0,0,0,9,2,1,2,1,26,23,19,23,26.25,10.991666667,9.591666667,28.78333333,16.99166667,9.59166667
"Actinomena",8,446.8,0,0,"survive","holdover",2,3,0,2,0,42,19,-42,-19,23,23,23,30,4,5,3,2,10.2,4684.79378746623,"Strophomenida","Strophomenidae",-Inf,66,3.99431818181818,23,0,0,0,0,9,2,1,2,1,26,23,19,23,26.25,10.991666667,9.591666667,28.78333333,16.99166667,9.59166667
